mz,rt,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
622.6133681,36.57016602,11538991,31417167,1721596.64,26270387,240068.3,146196506
648.6293531,37.13346762,3026293.178,4228799,2539904,4811817,34383605,1173481
650.6454651,38.08333333,2715640,71833.8351,1390301,4208460,18656983,15282626
678.5078614,26.93875325,78210.54698,942845.9436,402484.7,11245291,2873644.108,2362536
690.5081026,30.37666627,3210293,1832204,910287.1,29621351,753206.7,2049241
690.5435188,30.63430583,7495132.584,3902430,8532539.217,9627881,27338627,2198889
692.5231339,28.28167318,445188.9,1185052,4449886,7408649,3348432,3331331
692.5601398,30.95033367,21206565.4,3090137,6842806,5319571,2936000,7361859.609
700.48955,26.94334107,11134833.44,2994680.425,1148882,18069451,5027240,3509980.637
700.5727273,28.95499472,6422564,5599348,22221385.9,15202753,7261673,1419564.899
702.5444752,33.4115275,4994644,1215135,4791734,822197.7,1808754,855700.7
704.5228844,28.53116658,3268919.196,2959.245854,2298249,735897.1,311644,4195142
704.5235872,28.0367391,173726.6,84516.31719,1414982.28,6957234.482,3889262,3188990.159
704.5235995,27.766333,17338037.48,4589146.389,5563162,10601155.28,2690673.34,3678886
714.5047216,28.28412678,18437667,16396384,3606966,7121787,3254970,14521519.79
716.5253025,31.00019328,6518144,7261218,31207417,31464783,22563031,120895758
716.5587854,31.39916585,25661532,4447555,1135257.257,2830353,13419035.01,14338969
718.5398093,32.50487875,44917.00415,11861779,884458.9,23902350,101468.7572,2780683
718.5392742,29.29598185,9497790,3530652,1002865,3552085.446,2930295,1567985
718.5390213,29.00503947,30703749,117907175,2972399,9856374,16683468,4504298
718.5753737,32.73784383,2357354,19027037,48739596,1424745,2414089,8099966
718.5759514,31.85650025,240004.8031,10259127,350947.3309,5409978,10359252,44978858
720.5551362,30.69249675,2964832,3531815,22486650,1394315,4997309,16280299
720.591768,33.05354818,26872860,8847182,30593899,10284084,82788.33371,15295427
726.505583,28.01896463,2586238,6348401,5407944.73,122579363,246733.5,1082679.222
726.5054306,27.7663381,31842181,6465263.811,926894,11520836,31517748,3365265
728.5214,29.52878333,23192448,5427551,11417426,3471075.529,910517.0357,6037693.324
